序号,企业名称,社会信用代码,来源,特殊备注,类别1,细分类别1,类别2,细分类别2,类别3,细分类别3,是否综合,专精特新,高新技术企业,独角兽企业,瞪羚企业,上市企业,主要数据产品或服务,经营状态,成立日期,注册资本,实缴资本,城市,区县,参保人数,规模,企业简介,国标门类,国标大类,国标中类,国标小类
2477,江苏益点点健康科技有限公司,91320114302489390G,新增导入,互联网平台,数据资源企业,,,,,,,,,,,,,存续,2014-05-13,1000万元,1000万元,南京市,雨花台区,0,M(中型),南京敞视信息科技有限公司致力于健康类产品互联网垂直商业平台的建设与运营，公司在平台开发、产品研发、市场推广方面不断加大投入，实现对传统健康品行业的互联网改造和生态圈建设，将生产商、零售商、消费者传统产业链资源进行有效整合，从而提高流通效率，降低中间环节成本，改善消费环境，提升消费体验和发挥产品效能，最终建成一个具有高效率、优品质、可信赖、多方共赢的健康产品运营平台。公司核心成员具有10年以上保健食品和信息化行业背景，具有众多优秀的合作伙伴和行业资源，目前已完成千万级的A轮投资，正处于快速发展期，行业伙伴合作，同时面向全国进行系列产品和系统平台的推广运营，通过优秀的模式和高效的运营，实现建成国内前沿的健康产品互联网平台的目标。随着经济和消费水平的提高，大健康会迎来一个持续的高速发展机遇，公司利用前沿的“互联网+”理念和技术改造这一黄金产业，期待有志之士加入一起创造新的事业！,信息传输、软件和信息技术服务业,软件和信息技术服务业,-,-
1407,江苏方寸图信息技术有限公司,91320115MA1NBMBMXR,新增入库,人工智能融合,数据技术企业,,数据应用企业,,,,,,,,,,,在业,2017-01-20,1000万元,1000万元,南京市,建邺区,64,S(小型),"江苏方寸图信息技术有限公司成立于2017年1月20日，法定代表人为乔延春。公司以大数据技术为核心，专注于智慧政务、数据中台、大数据挖掘与分析，在地理信息技术领域具有特色。其业务覆盖智慧政务、智慧环保、智慧水务、房产、交通等领域，自主研发的大数据平台已在江苏省环保厅、南京市大数据局等多个政府部门成功实施。公司秉承“人无信不立，业无信不兴”的经营理念，注重技术研发与项目管理，为客户提供从技术咨询到售后服务的全流程解决方案。
江苏方寸图信息技术有限公司在2025年获得国家级科技型中小企业和省级创新型中小企业称号，并入选市级中小企业数字化改造服务商。该公司在江苏省数据治理开发技术服务领域具有一定影响力，依托地理信息技术优势，在智慧政务、环保等领域提供数据中台和大数据分析服务。
以上内容由AI生成，仅供参考，请注意甄别。",信息传输、软件和信息技术服务业,软件和信息技术服务业,其他信息技术服务业,其他未列明信息技术服务业
11454,苏州东财智能科技有限公司,91320508MA1YBB6Y6C,自有,,数据技术企业,人工智能技术企业,,,,,,,,,,,,在业,2019-05-04,30万元,-,苏州市,姑苏区,0,XS(微型),"苏州东财智能科技有限公司成立于2019-05-04，法定代表人为罗城里，注册资本为30万元，统一社会信用代码为91320508MA1YBB6Y6C，企业注册地址位于苏州市宫巷104号，所属行业为科技推广和应用服务业，经营范围包含：人工智能科技的研发,软件开发及销售,大数据应用系统开发,计算机技术咨询智能机器人设计、销售、租赁、技术服务电子产品设计与销售,机器人零配件销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。企业当前经营状态为在业。",科学研究和技术服务业,科技推广和应用服务业,-,-
346,昆山中创软件工程有限责任公司,91320583738250495K,入库,,数据技术企业,,,,,,,,,,,,,在业,2002-05-20,10000万元,10000万元,苏州市,昆山市,120,M(中型),"昆山中创软件工程有限责任公司成立于2002年5月20日，董事长为程建平。公司位于长三角经济圈，主营业务包括软件研发、软件测试、业务流程外包、IT培训和学术交流。作为中创软件集团的成员企业，公司引入国际先进的项目管理、质量管理和信息安全管理体系，通过ISO9001、CMMI3、ISO27001等国际认证，并建成基于IBM Rational的跨区域协同开发平台。
昆山中创软件工程有限责任公司获得国家级博士后科研工作站、国家级高新技术企业、省级专精特新中小企业等荣誉。该公司承办了2024年数字化推动先进制造业产业集群发展活动，聚焦生物医药及大健康产业数字化转型。作为长三角地区企业，昆山中创软件工程有限责任公司依托区域工业软件产业基础和应用场景优势，参与推动工业软件自主可控发展。
以上内容由AI生成，仅供参考，请注意甄别。",信息传输、软件和信息技术服务业,互联网和相关服务,-,-
3015,南京东晟财务咨询管理有限公司,91320191MA1XDTFG5Q,新增导入,,数据技术企业,数据采集汇聚,,,,,,,,,,,,存续,2018-11-01,500万元,-,南京市,浦口区,1,XS(微型),南京东晟财务咨询管理有限公司成立于2018-11-01，法定代表人为厉振东，注册资本为500万元，统一社会信用代码为91320191MA1XDTFG5Q，企业注册地址位于南京市江北新区浦口大道28号万汇城（北区）06幢2单元1920室，所属行业为金融业，经营范围包含：财务管理咨询；财务信息咨询；财务顾问；数据采集、处理；信息系统集成；软件开发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。企业当前经营状态为存续。,金融业,-,-,-
20786,江苏恒德网络科技有限公司,91320211MA1NE2896E,填报,,数据技术企业,,,,,,,,,,,,,在业,2017-02-17,1000万元,40万元,无锡市,滨湖区,28,S(小型),"江苏恒德网络科技有限公司成立于2017年2月17日，法定代表人张正德，公司位于江苏省无锡市滨湖区。该企业专注于软件开发领域，主要业务包括网络与信息安全软件开发以及互联网数据服务。公司拥有多项技术成果，包括基于工业互联网的网络化协同高效企业管理平台和基于数据库索引感知的数据库软件开发方法等专利。在软件著作权方面，公司开发了恒德企业财务综合管理系统、销售渠道管理与优化系统、销售绩效考核与提成计算平台以及财务成本控制与预算管理软件等专业工具。
江苏恒德网络科技有限公司在2023年获得国家级高新技术企业认定，2025年入选国家级科技型中小企业[企业榜单荣誉信息]。该公司参与无锡市工商联与阿里巴巴集团联合举办的'智改数转'培训活动，通过数字化技术提升制造业服务能力。在财务软件领域，该公司开发的系统能够帮助企业实现统一管控和自动化运营，支持全球化发展需求。
以上内容由AI生成，仅供参考，请注意甄别。",信息传输、软件和信息技术服务业,软件和信息技术服务业,-,-
5771,江苏物润船联智慧物流研发运营中心有限公司,91320592MA1X29L75Y,新增导入,,数据应用企业,,,,,,,,,,,,,在业,2018-08-16,2200万元,2200万元,苏州市,张家港市,1,S(小型),江苏物润船联智慧物流研发运营中心有限公司成立于2018-08-16，法定代表人为朱丹凤，注册资本为2200万元，统一社会信用代码为91320592MA1X29L75Y，企业注册地址位于张家港市金港街道润德路1号，所属行业为商务服务业，经营范围包含：物流大数据服务；互联网信息服务；计算机软件、硬件、电子产品销售及服务；数据中心建设、运营管理及租赁服务；会展服务、物业管理、房屋租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。企业当前经营状态为在业。,租赁和商务服务业,商务服务业,-,-
9962,南京他石科技有限公司,91320115MA20GU3K26,自有,,数据技术企业,数据采集汇聚技术企业,,,,,,,,,,,,在业,2019-11-27,100万元,-,南京市,江宁区,0,XS(微型),南京他石科技有限公司成立于2019-11-27，法定代表人为汪兆阳，注册资本为100万元，统一社会信用代码为91320115MA20GU3K26，企业注册地址位于南京市麒麟高新技术开发区天骄路100号启迪科技城华清园5栋二层，所属行业为研究和试验发展，经营范围包含：计算机软件和网络技术的开发、技术转让、技术咨询和技术服务；数据采集、存储、处理和服务；计算机软硬件研发和销售；实验室试剂的研发和销售；仪器仪表及配件、电子产品、教学及玻璃仪器、实验室仪器设备销售及维修；自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口商品及技术的除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。企业当前经营状态为在业。,科学研究和技术服务业,研究和试验发展,-,-
9673,南京弧光网络科技有限公司,91320191MA1UWCWH6G,自有,,数据技术企业,数据采集汇聚技术企业,,,,,,,,,,,,存续,2018-01-11,200万元,-,南京市,浦口区,0,S(小型),南京弧光网络科技有限公司成立于2018-01-11，法定代表人为白立强，注册资本为200万元，统一社会信用代码为91320191MA1UWCWH6G，企业注册地址位于南京市江北新区研创园团结路99号孵鹰大厦A519-A49，所属行业为软件和信息技术服务业，经营范围包含：网络技术的开发、技术服务；计算机软硬件技术开发、技术服务及销售；数据采集、存储、开发、处理、服务；互联网信息服务；软件的开发、销售；网络科技商品信息咨询服务；计算机零配件销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。企业当前经营状态为存续。,信息传输、软件和信息技术服务业,软件和信息技术服务业,-,-
2232,南京市后浪互联网有限责任公司,91320116MA21QL9G97,新增导入,互联网平台,数据资源企业,,,,,,,,,,,,,存续,2020-06-16,10万元,10万元,南京市,六合区,0,XS(微型),南京市后浪互联网有限责任公司成立于2020-06-16，法定代表人为许志豪，注册资本为10万元，统一社会信用代码为91320116MA21QL9G97，企业注册地址位于南京市六合区马鞍街道黄赵村陈云组12号，所属行业为互联网和相关服务，经营范围包含：一般项目：互联网数据服务；互联网销售（除销售需要许可的商品）；软件开发；二手日用百货销售；信息咨询服务（不含许可类信息咨询服务）；广告设计、代理；广告发布（非广播电台、电视台、报刊出版单位）；广告制作；市场营销策划（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,信息传输、软件和信息技术服务业,互联网和相关服务,-,-
19047,江苏信兴科技发展有限责任公司,91320102134780380M,填报,,数据应用企业,,,,,,,,,,,,,在业,1994-09-07,505万元,505万元,南京市,玄武区,5,XS(微型),江苏信兴科技发展有限责任公司成立于1994-09-07，法定代表人为李素章，注册资本为505万元，统一社会信用代码为91320102134780380M，企业注册地址位于南京市玄武区黄埔路2号黄埔大厦10层C1座，所属行业为商务服务业，经营范围包含：计算机软件及辅助设备、通讯及广播电视设备（不含卫星地面接收设施）、电子产品、五金交电、仪器仪表的研发、生产、销售，计算机、音响、通讯及电子设备的安装服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。企业当前经营状态为在业。,租赁和商务服务业,商务服务业,咨询与调查,-
31526,江苏悠享数化信息技术有限公司,91320803MADNTT228C,规上,,数据技术企业,,,,,,,,,,,,,在业,2024-06-06,1000万元,-,连云港市,灌南县,0,S(小型),江苏悠享数化信息技术有限公司成立于2024-06-06，法定代表人为李哲，注册资本为1000万元，统一社会信用代码为91320803MADNTT228C，企业注册地址位于江苏省连云港市灌南县三口镇三口工业园综合办公楼393号，所属行业为科技推广和应用服务业，经营范围包含：一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机系统服务；软件开发；软件销售；信息技术咨询服务；企业管理咨询；社会经济咨询服务；信息咨询服务（不含许可类信息咨询服务）；物业管理；餐饮管理；供应链管理服务；健康咨询服务（不含诊疗服务）；广告制作；广告发布；广告设计、代理；市场调查（不含涉外调查）；会议及展览服务；家政服务；建筑物清洁服务；洗染服务；洗烫服务；票务代理服务；酒店管理；汽车装饰用品销售；代驾服务；汽车零配件零售；汽车零配件批发；电子产品销售；日用品销售；日用百货销售；日用品批发；租赁服务（不含许可类租赁服务）；非居住房地产租赁（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,-
18513,南京万来商业连锁管理有限公司,91320117MA7G1TWX28,填报,,数据服务企业,,,,,,,,,,,,,存续,2022-02-16,10万元,10万元,南京市,溧水区,49,S(小型),南京万来商业连锁管理有限公司成立于2022-02-16，法定代表人为许顺根，注册资本为10万元，统一社会信用代码为91320117MA7G1TWX28，企业注册地址位于江苏省南京市溧水区白马镇白马大道111号科创中心211室，所属行业为商务服务业，经营范围包含：许可项目：食品销售（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：品牌管理；商业综合体管理服务；企业管理咨询；信息咨询服务（不含许可类信息咨询服务）；市场营销策划；企业形象策划；会议及展览服务；总质量4.5吨及以下普通货运车辆道路货物运输（除网络货运和危险货物）；普通货物仓储服务（不含危险化学品等需许可审批的项目）；租赁服务（不含许可类租赁服务）；人力资源服务（不含职业中介活动、劳务派遣服务）；软件开发；销售代理；专业设计服务；体育用品及器材制造（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,租赁和商务服务业,商务服务业,-,-
5006,苏州深视威智能科技有限公司,91320506MA26J47EXP,新增导入,云计算,数据基础设施企业,数据存算设施,,,,,,,,,,,,存续,2021-07-14,500万元,30万元,苏州市,吴中区,0,XS(微型),苏州深视威智能科技有限公司成立于2021-07-14，法定代表人为薛建群，注册资本为500万元，统一社会信用代码为91320506MA26J47EXP，企业注册地址位于苏州吴中经济开发区越溪街道吴中大道1368号1幢116室、127室，所属行业为专业技术服务业，经营范围包含：一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；云计算装备技术服务；计算机软硬件及外围设备制造；安全咨询服务；互联网数据服务；软件开发；人工智能应用软件开发；网络与信息安全软件开发；软件外包服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,科学研究和技术服务业,专业技术服务业,-,-
29397,江苏音速云网络科技有限公司,91320400MA205K8N1B,规上,,数据技术企业,,,,,,,,,,,,,存续,2019-09-27,1000万元,1000万元,常州市,武进区,12,S(小型),"江苏音速云网络科技有限公司成立于2019年9月，法定代表人为曹培源，公司位于江苏省常州市武进区。作为一家专注于网络安全领域的技术企业，公司主营业务涵盖技术服务、电子产品及第一类增值电信业务。公司开发的网络安全软件包括音速云网络安全网络攻击流量清洗分析平台、异常流量智能检测清洗系统等产品，为数据中心和网络环境提供安全防护解决方案。
江苏音速云网络科技有限公司在2025年获得国家级科技型中小企业认定。
以上内容由AI生成，仅供参考，请注意甄别。",科学研究和技术服务业,研究和试验发展,-,-
21995,上海君澜（无锡）律师事务所,31320000MD0064749J,填报,,数据服务企业,,,,,,,,,,,,,正常,2016-07-18,30万元,-,无锡市,梁溪区,-,-,-,-,-,-,-
8538,江苏喜得屋互联网有限公司,91321282MA21785H2M,新增导入,互联网平台,数据资源企业,,,,,,,,,,,,,在业,2020-04-10,1000万元,-,泰州市,靖江市,0,S(小型),"江苏喜得屋互联网有限公司成立于2020-04-10，法定代表人为朱庆国，注册资本为1000万元，统一社会信用代码为91321282MA21785H2M，企业注册地址位于靖江市开发区纬二路2号，所属行业为互联网和相关服务，经营范围包含：许可项目：各类工程建设活动；建筑劳务分包；食品经营（销售预包装食品）（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）
一般项目：互联网安全服务；互联网数据服务；互联网设备销售；人力资源服务（不含职业中介活动、劳务派遣服务）；会议及展览服务；信息技术咨询服务；信息咨询服务（不含许可类信息咨询服务）；工程管理服务；园林绿化工程施工；土石方工程施工；金属门窗工程施工；住宅室内装饰装修；机械设备租赁；建筑工程机械与设备租赁；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；家用电器制造；家用电器销售；家用电器安装服务；电子产品销售；搪瓷制品销售；建筑材料销售；模具销售；建筑装饰材料销售；电气设备销售；机械设备销售；仪器仪表销售；办公设备销售；金属制品销售；消防器材销售；泵及真空设备销售；计算器设备销售；制冷、空调设备销售；电工器材销售；化工产品销售（不含许可类化工产品）；服装服饰批发；日用杂品销售；塑料制品销售；纸制品销售；五金产品批发；文具用品批发；橡胶制品销售；第一类医疗器械销售；第二类医疗器械销售；眼镜销售（不含隐形眼镜）；钟表销售；日用百货销售；家具销售；电线、电缆经营；门窗销售；体育用品及器材零售；办公用品销售；化妆品零售；智能机器人销售；人工智能硬件销售；风机、风扇销售；水泥制品销售；卫生洁具销售；针纺织品销售；卫生陶瓷制品销售；通讯设备销售；礼品花卉销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。",信息传输、软件和信息技术服务业,互联网和相关服务,互联网安全服务,互联网安全服务
